timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605619660487,299,Get Books,200,OK,Endruance Test 2-10,text,true,,97539,211,5,14,https://webapp-api-appservice.azurewebsites.net/api/Books,154,0,99
1605619660727,62,Get Books CSV,200,OK,Stress Test 3-2,text,true,,741,213,9,14,https://webapp-api-appservice.azurewebsites.net/api/Books/2,62,0,0
1605619660745,53,Add Users from CSV,200,OK,Stress Test 3-8,text,true,,305,294,8,13,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619659922,893,Get Books,200,OK,Stress Test 3-7,text,true,,97539,211,8,13,https://webapp-api-appservice.azurewebsites.net/api/Books,171,0,103
1605619660764,55,Get Cover Photos,200,OK,Endruance Test 2-8,text,true,,20739,217,5,13,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
1605619660766,55,Add New Book using variable,200,OK,Stress Test 3-4,text,true,,382,380,8,13,https://webapp-api-appservice.azurewebsites.net/api/Books,55,0,0
1605619660771,54,Get Cover Photos,200,OK,Stress Test 3-9,text,true,,20739,217,8,13,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,54,0,0
1605619660517,318,Get Books,200,OK,Stress Test 3-10,text,true,,97539,211,8,13,https://webapp-api-appservice.azurewebsites.net/api/Books,175,0,108
1605619659920,919,Get Books,200,OK,Stress Test 3-5,text,true,,97539,211,8,13,https://webapp-api-appservice.azurewebsites.net/api/Books,173,0,105
1605619660786,54,Add New Book,200,OK,Endruance Test 2-10,text,true,,382,380,5,13,https://webapp-api-appservice.azurewebsites.net/api/Books,54,0,0
1605619660785,66,Get Books CSV,200,OK,Stress Test 3-3,text,true,,741,213,8,13,https://webapp-api-appservice.azurewebsites.net/api/Books/3,66,0,0
1605619659919,936,Get Books,200,OK,Endruance Test 2-1,text,true,,97539,211,5,12,https://webapp-api-appservice.azurewebsites.net/api/Books,236,0,159
1605619660798,65,Get Books CSV,200,OK,Stress Test 3-8,text,true,,741,213,7,12,https://webapp-api-appservice.azurewebsites.net/api/Books/8,65,0,0
1605619660815,55,Add New Book using variable,200,OK,Stress Test 3-7,text,true,,382,380,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books,55,0,0
1605619660771,101,Get Cover Photos,200,OK,Stress Test 3-6,text,true,,20739,217,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
1605619660819,55,Add CoverPhoto,200,OK,Endruance Test 2-8,text,true,,321,317,5,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
1605619660826,54,Add CoverPhoto,200,OK,Stress Test 3-9,text,true,,321,317,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,54,0,0
1605619660835,52,Add New Book using variable,200,OK,Stress Test 3-10,text,true,,382,380,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books,52,0,0
1605619660839,52,Add New Book using variable,200,OK,Stress Test 3-5,text,true,,382,380,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books,52,0,0
1605619660821,70,Get Cover Photos,200,OK,Stress Test 3-4,text,true,,20739,217,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,68,0,0
1605619660840,54,Get Cover Photos,200,OK,Endruance Test 2-10,text,true,,20739,217,5,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,51,0,0
1605619660855,52,Add New Book,200,OK,Endruance Test 2-1,text,true,,382,380,5,11,https://webapp-api-appservice.azurewebsites.net/api/Books,52,0,0
1605619660872,51,Add CoverPhoto,200,OK,Stress Test 3-6,text,true,,321,317,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,51,0,0
